No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
35,29/11/2024 12:39,1F-PC-196,172.22.54.247,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
36,29/11/2024 12:38,hpkkplazaapp,172.22.36.12,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,16/08/2024 17:18,65E7F6E26F792FA94E8AF5371FD6331A,Pending,29/11/2024 12:38,Sangfor Engine Zero,2.02411E+13
37,29/11/2024 12:37,2F-PC-146,172.22.57.3,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
38,29/11/2024 12:35,2F-PC-060,172.22.35.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:30,Sangfor Cloud-Based Antivirus Engine,2.02411E+13
39,29/11/2024 12:35,2F-PC-049,172.22.57.133,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
40,29/11/2024 12:35,3F-PC-122,172.22.64.20,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,16/08/2024 9:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
41,29/11/2024 12:34,5F-PC-060,172.22.80.165,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,14/02/2024 7:34,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
42,29/11/2024 12:34,1F-PC-063,172.22.53.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
43,29/11/2024 12:34,3F-PC-080,172.22.0.102,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
44,29/11/2024 12:34,2F-PC-065,172.22.35.9,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,2.02411E+13
45,29/11/2024 12:34,2F-PC-053,172.22.35.137,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,06/08/2024 12:05,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,2.02411E+13
46,29/11/2024 12:34,4F-PC-022,172.22.61.143,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
47,29/11/2024 12:33,2F-PC-175,172.22.55.66,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:49,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,2.02411E+13
48,29/11/2024 12:33,2F-PC-165,172.22.50.241,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,2.02411E+13
49,29/11/2024 12:33,5FB-NB-002,172.22.12.209,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,13/02/2024 8:42,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,2.02411E+13
50,29/11/2024 12:33,hpkkplazaarc,172.22.36.14,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,31/08/2023 7:05,08B5889AF26C2C16AC90F99F5B36481C,Pending,29/11/2024 12:33,Sangfor Engine Zero,2.02411E+13
